"category","word","meaning","example","translation","count"
"topic vocab","intermediate (adj) /ˌɪntəˈmiːdiət/","positioned between basic and advanced levels","He enrolled in an intermediate English class.","trung gian",0
"topic vocab","intermediate (adj) /ˌɪntəˈmiːdiət/ 2","having a skill level that is between beginner and advanced","The school offers an intermediate Spanish course.","trung cấp",0
"topic vocab","internal (adj) /ɪnˈtɜːnl/","located inside something like a system or structure","Internal walls were removed to create an open space.","bên trong",0
"topic vocab","intervene (v) /ˌɪntəˈviːn/","to step in to help improve or alter a situation","A security guard intervened to break up the fight.","can thiệp",0
"topic vocab","intimate (adj) /ˈɪntɪmət/","describing a deeply personal and close connection","They maintained an intimate friendship for years.","thân mật",0
"topic vocab","intimate (adj) /ˈɪntɪmət/ 2","related to private or personal details","He shared intimate stories from his past.","riêng tư",0
"topic vocab","involve (v) /ɪnˈvɒlv/","to include something as part of an activity or event","Renovating the house involves a lot of planning.","bao gồm",0
"topic vocab","involve (v) /ɪnˈvɒlv/ 2","to include someone in an activity or process","The manager involved the whole team in the decision.","bao gồm ai đó tham gia",0
"topic vocab","joint (adj) /dʒɔɪnt/","done or shared by two or more people","They issued a joint statement after the meeting.","chung, cùng nhau",0
"topic vocab","liken (v) /ˈlaɪkən/","to compare one thing to another","He likened her voice to that of an angel.","so sánh với",0
"topic vocab","link (v) /lɪŋk/","to create a connection between things","The study links pollution to respiratory diseases.","liên kết",0
"topic vocab","link (n) /lɪŋk/","a relationship or connection between two items","They found a link between diet and performance.","mối liên hệ",0
"topic vocab","merge (v) /mɜːdʒ/","to combine multiple things into one","The two departments will merge next month.","sáp nhập",0
"topic vocab","mutual (adj) /ˈmjuːtʃuəl/","shared or experienced equally by two or more parties","There was mutual respect between the competitors.","lẫn nhau, chung",0
"topic vocab","negotiate (v) /nɪˈɡəʊʃieɪt/","to try to reach an agreement through discussion","They negotiated a new contract with the supplier.","đàm phán",0
"topic vocab","related (adj) /rɪˈleɪtɪd/","connected or associated with something","His health problems are related to stress.","liên quan",0
"topic vocab","relative (adj) /ˈrelətɪv/","judged or measured in comparison with something else","The cost is low relative to the benefits.","tương đối",0
"topic vocab","resemblance (n) /rɪˈzembləns/","the state of being similar to someone or something","She bears a strong resemblance to her grandmother.","sự tương đồng",0
"topic vocab","acquaintance (n) /əˈkweɪntəns/","a person you know slightly, not a close friend","I met him through a mutual acquaintance.","người quen",0
"topic vocab","installation (n) /ˌɪnstəˈleɪʃn/","an arrangement of objects designed as a form of art","The museum features a light and sound installation.","tác phẩm trưng bày",0
"topic vocab","lines (n pl) /laɪnz/","the words spoken by an actor in a play or movie","She forgot her lines during the audition.","lời thoại",0
"topic vocab","lyrics (n pl) /ˈlɪrɪks/","the words of a song","He wrote the lyrics for a hit single.","lời bài hát",0
"topic vocab","masterpiece (n) /ˈmɑːstəpiːs/","a work of art considered outstanding or exceptional","The painting is considered a Renaissance masterpiece.","kiệt tác",0
"topic vocab","paperback (n) /ˈpeɪəbæk/","a book with a soft paper cover","The novel is now available in paperback edition.","sách bìa mềm",0
"topic vocab","period (adj) /ˈpɪəriəd/","representing a historical time style or fashion","Are you wearing a period outfit for the play?","thuộc về thời kỳ nào đó",0
"topic vocab","period (n) /ˈpɪəriəd/","a specific span of time in history","We studied the Renaissance period in detail.","thời kỳ",0
"topic vocab","priceless (adj) /ˈpraɪsləs/","extremely valuable and impossible to replace","That necklace is absolutely priceless to her.","vô giá",0
"topic vocab","ritual (n) /ˈrɪtʃuəl/","a repeated, structured set of actions","His evening ritual includes meditation and journaling.","nghi lễ, nghi thức",0
"topic vocab","retrospective (adj) /ˌretrəˈspektɪv/","looking back on or dealing with past events","Her novel had a deeply retrospective tone.","hồi tưởng",0
"topic vocab","retrospective (n) /ˌretrəˈspektɪv/","an art exhibition covering an artist’s body of work","The gallery hosted a major Monet retrospective.","triển lãm hồi cố",0
"topic vocab","score (n) /skɔːr/","music composed for a movie or performance","The score gave the film a haunting atmosphere.","nhạc phim",0
"topic vocab","sketch (n) /sketʃ/","a simple drawing made quickly","He showed me a sketch of his invention idea.","bức phác thảo",0
"topic vocab","sketch (v) /sketʃ/","to draw something quickly and roughly","She sat on the beach sketching the waves.","phác thảo",0
"topic vocab","sketch (v) /sketʃ/ 2","to give a brief summary or description","Let me sketch the plan before we start.","mô tả sơ lược",0
"topic vocab","work of art (n phr) /ˌwɜːk əv ˈɑːt/","something crafted with exceptional skill or beauty","That handmade quilt is a real work of art.","công trình nghệ thuật",0
"topic vocab","worthless (adj) /ˈwɜːθləs/","having no value or usefulness","The broken phone is now completely worthless.","vô giá trị",0
"topic vocab","adjacent (adj) /əˈdʒeɪsnt/","located next to or very close to something","The café is adjacent to the bookstore.","ở sát cạnh",0
"topic vocab","attach (v) /əˈtætʃ/","to connect or fasten something to another","You need to attach the cable before switching on.","gắn liền, đính",0
"topic vocab","bond (v) /bɒnd/","to join or develop a strong connection","They bonded during their travels across Asia.","gắn kết",0
"topic vocab","bond (n) /bɒnd/","a strong emotional or social connection","Their bond grew stronger after the accident.","mối liên kết",0
"topic vocab","coexist (v) /ˌkəʊɪɡˈzɪst/","to exist peacefully alongside one another","Different beliefs can coexist in harmony.","cùng tồn tại",0
"topic vocab","coherent (adj) /kəʊˈhɪərənt/","clear and logically connected","Your proposal was well-structured and coherent.","mạch lạc",0
"topic vocab","compatible (adj) /kəmˈpætəbl/","able to function or get along together","The software is compatible with both systems.","tương thích, hòa hợp",0
"topic vocab","compromise (n) /ˈkɒmprəmaɪz/","a mutual agreement where both sides adjust demands","They reached a compromise that suited everyone.","sự thỏa hiệp",0
"topic vocab","compromise (v) /ˈkɒmprəmaɪz/","to give up part of your demands to reach agreement","We compromised on the budget for the project.","thỏa hiệp",0
"topic vocab","conflict (n) /ˈkɒnflɪkt/","a serious disagreement or argument","The conflict between the two teams escalated quickly.","xung đột",0
"topic vocab","confront (v) /kənˈfrʌnt/","to face someone aggressively or directly","He confronted the stranger who followed him.","đối mặt",0
"topic vocab","confront (v) /kənˈfrʌnt/ 2","to address or tackle a problem directly","It’s time to confront your fears.","đương đầu",0
"topic vocab","consistent (adj) /kənˈsɪstənt/","always acting or performing the same way","She is consistent in her study routine.","nhất quán",0
"topic vocab","contradict (v) /ˌkɒntrəˈdɪkt/","to state the opposite of what someone else said","She always contradicts her colleagues during meetings.","mâu thuẫn, phủ nhận",0
"topic vocab","contradict (v) /ˌkɒntrəˈdɪkt/ 2","to prove something is incorrect or untrue","The new data completely contradicts their claims.","bác bỏ",0
"topic vocab","contrasting (adj) /kənˈtrɑːstɪŋ/","markedly different in character or style","The room was decorated in contrasting shades of blue and orange.","đối lập",0
"topic vocab","cooperate (v) /kəʊˈɒpəreɪt/","to act or work together towards a shared goal","They cooperated on writing the final report.","hợp tác",0
"topic vocab","correspond (v) /ˌkɒrəˈspɒnd/","to match or be similar in meaning, character, or function","The description doesn’t correspond with the real item.","tương ứng, khớp",0
